,Date,Description,Target
619,2020-05-16,"Around 600 banks, most of them small community institutions, tapped the Federal Reserve's Paycheck Protection Program facility for about $30 billion of loans as of May 6, the U.S. central bank reported on Saturday in its first detailed disclosure under the new program.",neutral
620,2020-05-16,"J.C. Penney Co Inc filed for bankruptcy protection on Friday with plans to permanently close some stores and also explore a possible sale, making it the latest brick-and-mortar retailer to crumble as prolonged store closures in response to the COVID-19 pandemic drive a final stake through long-troubled businesses.",negative
621,2020-05-16,"China's foreign ministry said on Saturday the United States needed to stop the ""unreasonable suppression"" of Chinese companies like Huawei, and a Chinese newspaper said the government was ready to retaliate against Washington.",negative
622,2020-05-16,"Saudi Arabia's sovereign wealth fund has bought minority stakes in major American companies including Boeing, Facebook and Citigroup, a regulatory filing showed, giving it a portfolio of nearly $10 billion in U.S.-listed stocks.",neutral
623,2020-05-16,"Investors are bracing for more turbulence in U.S. stocks, as some states prepare to reopen their economies and global trade tensions rise.",negative
624,2020-05-16,"A California state panel on Friday rejected a request from Elon Musk's SpaceX for $655,500 in state job and training funds, citing the chief executive's recent threats to move Tesla, the electric carmaker that he also runs, out of the state.",negative
625,2020-05-16,"Amazon.com Inc  said on Friday it would make an ""appropriate"" executive available to the U.S. House of Representatives Judiciary Committee to testify about allegations related to how the company uses third-party sellers' data.",neutral
626,2020-05-16,"The U.S. Justice Department has sent grand jury subpoenas to big banks seeking records as part of a broader investigation into potential abuse of a $660 billion emergency loan program to help small businesses hurt by the novel coronavirus, two people with knowledge of the matter told Reuters.",negative
627,2020-05-15,"A group of state attorneys general led by Texas are likely to file an antitrust lawsuit against Alphabet Inc's Google and are working on potential litigation for later this year, a person familiar with the situation said on Friday.",negative
628,2020-05-15,"The Trump administration on Friday moved to block global chip supplies to blacklisted telecoms equipment giant Huawei Technologies, spurring fears of Chinese retaliation and hammering shares of U.S. producers of chipmaking equipment.",negative
629,2020-05-15,"Taiwan Semiconductor Manufacturing Co Ltd, which unveiled a $12 billion investment plan in Arizona on Friday, has not been given any assurances that it will be granted a license to allow it to sell U.S. technology to China's Huawei, a senior U.S. official said.",negative
630,2020-05-15,U.S. employers have cooled to the idea of testing workers for possible immunity to the coronavirus as they prepare to reopen factories and other workplaces.,neutral
631,2020-05-15,Wall Street's three major indexes closed higher after swinging between gains and losses on Friday as investors weighed worries about Sino-U.S. trade relations and weaker-than-expected U.S. economic data against growing optimism that easing coronavirus restrictions would boost activity this month.,neutral
632,2020-05-15,"The U.S.-China ""Phase 1"" trade deal reached in January is not falling apart and the two countries are still working to implement it, the White House's top economic adviser said on Friday, but President Donald Trump added that he was not ""thrilled"" with the agreement.",positive
633,2020-05-15,"U.S. stocks gyrated on Friday before ending slightly higher, as investors worried about increased China-U.S. trade hostilities and disappointing retail sales figures, while signs of a pick-up in crude demand boosted oil prices.",neutral
634,2020-05-15,Businesses are urging U.S. lawmakers to shield companies from what they fear could be a flood of lawsuits by workers and consumers blaming employers for exposing them to the new coronavirus.,neutral
635,2020-05-15,"South African Airways (SAA) has spent just under 10 billion rand ($540 million) since it entered a form of bankruptcy protection, business rescue practitioners said on Friday as they flagged a structured wind-down process as their preferred option for the carrier.",neutral
636,2020-05-15,"Layoffs in the United States jumped to a record high in March, while the number of people voluntarily quitting their jobs dropped to a 4-1/2-year low as the novel coronavirus crisis rapidly changed labor market dynamics.",negative
637,2020-05-15,Shares in Wirecard  fell to more than two-year lows on Friday after a Dubai-based business partner closed its doors even as the German payments company played down the impact on operations.,negative
638,2020-05-15,Air France  is putting its grounded pilots through their paces in the flight simulator as the airline prepares to restore flights to dozens of destinations that had been suspended under coronavirus lockdown measures.,neutral
639,2020-05-15,"United Airlines Holdings Inc  has told staff that it only has work for about 3,000 of its about 25,000 flight attendants in June, sources said, and warned of job losses if demand does not recover by the time government payroll aid expires in the fall.",negative
640,2020-05-15,"U.S. consumer sentiment rose unexpectedly in early May after a record plunge a month earlier as emergency assistance payments improved household finances hurt by mass layoffs from the coronavirus crisis, a survey released on Friday showed.",positive
641,2020-05-15,"Late last month, Sukrampal had to beg and borrow farmhands from nearby villages to gather his part of the country's largest-ever wheat harvest in Haryana state near New Delhi.",positive
642,2020-05-15,White House economic adviser Larry Kudlow on Friday floated the idea of cutting the corporate tax rate in half for U.S. companies who bring their operations back from other countries.,positive
643,2020-05-15,"Virgin Atlantic will not be able to resume passenger flights until August at the earliest if Britain introduces a 14-day quarantine for travellers, according to a source at the airline.",negative
644,2020-05-15,"U.S. retail sales endured a second straight month of record declines in April as the novel coronavirus pandemic kept Americans at home, putting the economy on track for its biggest contraction in the second quarter since the Great Depression.",negative
645,2020-05-15,U.S. weapons maker Lockheed Martin Corp  said on Friday it would pay an additional $300 million to its suppliers hurt by a sharp economic slowdown caused by the coronavirus crisis.,neutral
646,2020-05-15,"Fiat Chrysler  is in talks with Italian lender Intesa Sanpaolo  over a 6.3 billion euro ($6.8 billion) state-guaranteed loan to help the automaker weather the coronavirus crisis, a source close to the matter said on Friday.",neutral
647,2020-05-15,The Belgian government said on Friday it was committed to reaching a deal with Lufthansa  to save its Belgian subsidiary Brussels Airlines if the future of the national carrier was guaranteed.,positive
648,2020-05-15,"Taiwan Semiconductor Manufacturing Co Ltd , the biggest contract chipmaker, said it plans to build a $12 billion factory in Arizona in an apparent win for the Trump administration's efforts to wrestle global tech supply chains back from China.",positive
649,2020-05-15,"Nissan Motor Co expects equal contributions to global car sales from China, the United States and elsewhere in coming years as the struggling Japanese carmaker strategises to recover profitability, two people with knowledge of the issue said.",neutral
650,2020-05-15,Worker welfare is having a moment on Wall Street.,positive
651,2020-05-15,"U.S. President Donald Trump signaled a further deterioration of his relationship with China over the coronavirus outbreak, saying he has no interest in speaking to President Xi Jinping right now and going so far as to suggest he could even cut ties with the world's second largest economy.",negative
652,2020-05-15,"Chipmaker Taiwan Semiconductor Manufacturing Co's  $12 billion investment in the United States will increase U.S. economic independence from China, Secretary of State Mike Pompeo said in a statement early on Friday.",positive
653,2020-05-15,The U.S. Department of Commerce on Friday announced that it was extending the Temporary General License that allows certain transactions with Huawei Technologies Co Ltd for another 90 days.,positive
654,2020-05-15,"Ryanair has cut more than 250 staff in offices in Dublin, London, Madrid and Wroclaw, Poland, Europe's largest low-cost airline said on Friday.",negative
655,2020-05-15,Texas-based CRE8AD8 LLC bid for a federal government contract to quickly rescue food from struggling farmers and deliver it to U.S. food banks as fallout from the coronavirus pandemic has put millions of Americans out of work and driven many to seek help putting food on the table.,neutral
656,2020-05-15,"Cathay Pacific Airways Ltd  said on Friday it made an unaudited loss of HK$4.5 billion ($580.53 million) at its full-service airlines during January-April and flagged a ""very bleak"" outlook as the coronavirus crisis grounded planes globally.",negative
657,2020-05-15,"Cooperation between Fincantieri  and Thyssenkrupp  to build submarines is a good opportunity to talk about future consolidation in the European defence sector, the Italian shipbuilder's general manager Alberto Maestrini said on Friday.",neutral
658,2020-05-15,"France's Accor , which runs hotels such as Ibis and Movenpick, said on Friday it would offer its clients free access to online medical consultations run by insurer AXA  as it prepares for a recovery from the coronavirus crisis.",neutral
659,2020-05-15,"Sweden's central bank will engage BlackRock’s Financial Markets Advisory for analysis work on the Swedish corporate bonds market, it said in a statement on Friday.",neutral
660,2020-05-15,"Westpac Banking Corp  admitted to millions of breaches of anti-money laundering and counter-terrorism laws in a filing in Australia's Federal Court on Friday, but denied accusations it enabled illegal payments between known child sex offenders.",negative
661,2020-05-15,"The U.S. Food and Drug Administration said on Thursday that Abbott Laboratories’  speedy coronavirus test, which can deliver results within minutes and is used at the White House, could potentially be inaccurate but can still be used to test patients.",neutral
662,2020-05-15,"Europe's biggest bank, HSBC  has cut already bleak global growth forecasts even further, as lockdown restrictions extended through April and tentative economic re-openings drag on a return to business, trade and spending.",negative
663,2020-05-15,"The airline industry is not likely to recover to pre-coronavirus levels for at least the next six to 12 months, Southwest Airlines Co  Chief Executive Officer Gary Kelly said on Thursday.",negative
664,2020-05-14,"Goldman Sachs Group Inc plans to buy a boutique wealth management custodian and technology company called Folio Financial Inc for an undisclosed amount of money, according to a letter that Folio sent to its customers on Thursday and was viewed by Reuters.",neutral
665,2020-05-14,"Taiwan Semiconductor Manufacturing Co Ltd, the world's biggest contract manufacturer of computer chips, on Friday announced plans to build an approximately $12 billion advanced chip factory in Arizona.",positive
666,2020-05-14,"The We Company, owner of WeWork, said on Thursday that for the first time quarterly revenue surpassed $1 billion and cash burn improved 60% sequentially, but the money-losing shared office operator did not mention profitability in an email to employees that was reviewed by Reuters.",positive
667,2020-05-14,Wall Street surged on Thursday as investors weighed the prospect of economic recovery against bellicose remarks from President Donald Trump regarding U.S.-China trade and a whistleblower's dire warnings about the U.S. response to the coronavirus pandemic.,positive
668,2020-05-14,"Walt Disney Co  and unions representing workers at Florida's Walt Disney World have reached an agreement on safeguards to protect employees from coronavirus, a union statement said on Thursday, removing one of the company's hurdles to reopening its popular theme parks.",positive
669,2020-05-14,"The Federal Reserve's pledged support for exchange-traded funds may not end up costing the central bank much, but will still have the desired effect of keeping the credit market afloat.",positive
670,2020-05-14,"Nike Inc  said on Thursday store closures across the globe will hurt its retail and wholesales businesses in the fourth quarter, even as it ramps up its e-commerce capabilities to address increased online orders amid the COVID-19 pandemic.",negative
671,2020-05-14,"The novel coronavirus crisis continues to pummel the U.S. labor market, with the number of Americans filing for unemployment benefits falling less than expected last week, suggesting a second wave of layoffs in industries and jobs not initially impacted by business closures caused by the pandemic.",negative
672,2020-05-14,"Electric car maker Tesla Inc  plans to introduce a new low-cost, long-life battery in its Model 3 sedan in China later this year or early next that it expects will bring the cost of electric vehicles in line with gasoline models, and allow EV batteries to have second and third lives in the electric power grid.",neutral
673,2020-05-14,"General Motors Co's  self-driving car unit Cruise told staff on Thursday it has decided to lay off workers, the latest start-up in the nascent industry to cut jobs during the coronavirus pandemic.",negative
674,2020-05-14,"Global equity benchmarks gained late on Thursday, with safe-haven bonds also rising as investors shrugged off disappointing U.S. jobs data and took comfort in the possibility of states re-opening after lockdowns and fueling an economic recovery.",positive
675,2020-05-14,"One Thursday morning seven weeks ago, Federal Reserve Chair Jerome Powell made a rare appearance on NBC's ""Today Show"" to offer a reassuring message to Americans dealing with economic fallout from measures to contain the coronavirus outbreak.",neutral
676,2020-05-14,Delta Air Lines  moved to retire its Boeing Co  777 fleet and reduce its pilot ranks on Thursday as it joins other airlines wrestling with the need to shrink their operations to match reduced air travel due to the coronavirus crisis.,negative
677,2020-05-14,"Lufthansa  plans to resume flights to destinations including Los Angeles, Toronto and Mumbai next month as it begins to restore some of the capacity grounded by the coronavirus crisis, the German airline group said on Thursday.",positive
678,2020-05-14,"The coronavirus crisis drove a dramatic weakening in American households' finances as millions of people lost work or had their hours or pay reduced, with low-wage workers taking the biggest hit, according to a report released by the Federal Reserve on Thursday.",negative
679,2020-05-14,"The U.S. Securities and Exchange Commission said on Thursday it has charged two companies and a chief executive officer with making misleading claims related to COVID-19, the disease caused by the novel coronavirus.",negative
680,2020-05-14,"The possibility that Uber Technologies Inc , which runs Uber Eats, could acquire Grubhub Inc  is reigniting some restaurants' worries over the commissions charged to eateries by the third-party delivery companies.",neutral
681,2020-05-14,"A near decade-long battle to clear his name has ended in victory, but the star rainmaker credited with playing a pivotal role in saving one of Britain's biggest banks from a government bailout in 2008 is still waiting to put his life back on track.",neutral
682,2020-05-14,"Most of Ford Motor Co's  U.S. dealers received payroll protection loans from the U.S. government amid the coronavirus pandemic, the automaker's chief operating officer said on Thursday.",neutral
683,2020-05-14,"Amazon Inc 's video game live-streaming platform Twitch is forming an advisory council of experienced users, online safety experts and anti-bullying advocates to help improve safety on the site, Twitch said in a blog post on Thursday.",neutral
684,2020-05-14,"IKEA's shopping malls business, one of the world's biggest, is looking to enter the United States in the next couple of years and is in talks to snap up central properties in major cities, its boss told Reuters.",neutral
685,2020-05-14,"McDonald's Corp  has asked its U.S. franchisees to make a series of changes in restaurants before reopening to diners in an effort avoid the spread of the new coronavirus, the Wall Street Journal reported on Thursday.",neutral
686,2020-05-14,"Renault  is preparing to substantially reduce its vehicle range, withdrawing well-known but ailing models like the Espace minivans, as part of looming cost cutting plans, four sources in the industry and close to the French carmaker said.",neutral
687,2020-05-14,"Planemaker Airbus  has told senior staff the company must be ""resized"" in plans to be set out around end-June and is ready to cut jet production again to tackle any second wave of the coronavirus crisis, people briefed on the matter said.",neutral
688,2020-05-14,"President Donald Trump threatened on Thursday to impose new taxes on American companies that produce goods outside the United States, another move his administration could make to push supply chains away from China and raise new trade barriers.",negative
689,2020-05-14,"Nissan Motor  may be looking at the possibility of closing its Barcelona factory but no final decision has been made as the Japanese carmaker plans a new global strategic direction, two sources with direct knowledge told Reuters.",neutral
690,2020-05-14,"U.S. President Donald Trump on Thursday said he was very disappointed in China over its failure to contain the novel coronavirus, saying the worldwide pandemic cast a pall over his U.S.-China trade deal.",negative
691,2020-05-14,"Credit card spending among some of JP Morgan Chase & Co's U.S. customers fell 40% during March and early April compared to last year, as Americans stayed home to protect against the novel coronavirus, according to a new report on Thursday.",negative
692,2020-05-14,"Delta Air Lines  said on Thursday it would no longer fly Boeing Co's  wide-body 777 aircraft and some of the other older high-maintenance jets, as the U.S. carrier looks to cut costs amid a steep fall in bookings due to travel restrictions around the world.",negative
693,2020-05-14,"Nvidia Corp, whose semiconductors power data centers, autonomous cars and robots, said on Thursday it plans to enter the market for technology that helps cars with automated lane-keeping, cruise control and other driver-assistance features.",positive
694,2020-05-14,"Zoom Video Communications Inc  said Thursday it plans to hire 500 software engineers for research and development locations in Phoenix and Pittsburgh over the next two years, expanding its engineering workforce by about 60%.",positive
695,2020-05-14,"Acquisitions will play a ""major role"" in Deutsche Boerse's  strategy update later this year, the chief of the stock exchange said.",neutral
696,2020-05-14,"Tesla Inc  is a leader in electric vehicle battery technology, but the company doesn't do all its own research.",neutral
697,2020-05-14,"When markets slumped in March as the spread of coronavirus gathered pace, wealth managers' trading volumes soared as ultra rich clients reshuffled their portfolios.",neutral
698,2020-05-14,"Thyssenkrupp  and Germany's largest union IG Metall on Thursday called for further consolidation of the country's warship sector, saying a tie-up of rivals Luerssen and German Naval Yards (GNYK) did not go far enough.",neutral
699,2020-05-14,Fiat Chrysler's  decision to scrap its dividend marks another setback for plans by the Agnelli family's Exor  arm to raise cash after a $9 billion sale of its reinsurer unit PartnerRe collapsed this week.,negative
700,2020-05-14,"Britain's quarantine plans and a minister's comment that big foreign holidays were unlikely this year are seriously hindering any travel recovery, said Willie Walsh the boss of British Airways parent company IAG .",negative
701,2020-05-14,"Temperature screening and face masks will become common sights at airports to mitigate the spread of the new coronavirus but physical distancing could make flying more expensive, the head of Dubai airport said.",neutral
702,2020-05-14,U.S. electric vehicle maker Tesla Inc  said on Thursday it had started producing Long Range Model 3 vehicles in its Shanghai factory and aimed to deliver them to customers soon.,neutral
703,2020-05-14,"BMW  on Thursday said China sales of luxury passenger cars rebounded in April but the German premium car and motorbike manufacturer cautioned that other markets including the United States will be ""very slow"" to recover from the corona pandemic.",neutral
704,2020-05-14,Merck KGaA  said a slight decline in operating earnings was on the cards this year as the coronavirus pandemic weighs on demand for chemicals in TV screens and is putting couples off seeking the German group's fertility treatments.,negative
705,2020-05-14,"A lightning-quick rally in U.S. equities is showing cracks, as investors face mounting evidence that the economy's coronavirus-fueled woes may be far longer-lasting than many had anticipated.",negative
706,2020-05-14,"Clariant  is scrapping a regular dividend as it hunkers down to survive the COVID-19 crisis, the Swiss specialty chemicals maker said on Thursday, while still planning a special $1 billion payout from asset-sale proceeds, if they go through.",neutral
707,2020-05-14,"Italian fashion group Dolce & Gabbana will lose out ""a lot"" this year, after the coronavirus emergency, founders Domenico Dolce and Stefano Gabbana said on Thursday.",negative
708,2020-05-13,"The U.S. factories that make Fords, Chevys and Jeeps are coming back to life this week as workers install new safety equipment and wake up machines ahead of the high-stakes restart the Detroit automakers plan to launch on Monday.",positive
709,2020-05-13,A United Airlines Holdings Inc non-union employee filed a class action lawsuit on Wednesday alleging that a requirement that management and administration employees take 20 unpaid days off breaches the terms of federal payroll aid.,neutral
710,2020-05-13,French drugmaker Sanofi SA said on Wednesday that it is working with European regulators to speed up access to a potential coronavirus vaccine in Europe after its chief executive suggested Americans would likely get the vaccine first.,neutral
711,2020-05-13,President Donald Trump on Wednesday extended for another year an executive order signed in May 2019 declaring a national emergency and barring U.S. companies from using telecommunications equipment made by firms posing a national security risk.,negative
712,2020-05-13,"Casual clothing chain Uniqlo has reopened more stores in the past week and plans to resume business at more shops in coming days as governments ease coronavirus restrictions, its owner Fast Retailing  said on Thursday.",positive
713,2020-05-13,"Uber Technologies, Inc.  on Wednesday said it will require drivers, delivery workers and riders globally to wear a mask as countries around the world begin easing restrictions aimed at curbing the spread of the coronavirus.",neutral
714,2020-05-13,"Uber Technologies Inc is in negotiations to buy online food delivery company Grubhub Inc in an all-stock deal, according to people familiar with the matter.",neutral
715,2020-05-13,Wall Street's three major indexes closed lower for the second day in a row after Federal Reserve Chairman Jerome Powell warned on Wednesday of extended economic weakness due to the coronavirus pandemic and called for Congress to agree on additional fiscal support.,negative
716,2020-05-13,Mexico will begin opening some automotive factories from May 18 under a plan unveiled on Wednesday that loosens coronavirus restrictions and paves the way for U.S. car giants to ramp up output dependent on parts made south of the border.,positive
717,2020-05-13,Federal Reserve Chair Jerome Powell had a clear message to interest rate futures traders on Wednesday: Bets that the U.S. central bank will pursue a negative interest-rate policy are off-base.,neutral
718,2020-05-13,"The U.S. economy lost a record 20.537 million jobs in April and not 20.5 million as reported last Friday, according to revised data published by the Labor Department this week.",negative
719,2020-05-13,"Brazil airline Gol Linhas Aereas Inteligentes  said on Wednesday it will receive up to 2.4 billion reais ($412 million) from Boeing Co  as compensation for the grounding of the 737 MAX plane, in a mix of cash and credits.",neutral
720,2020-05-13,"Tesla Inc and officials in California have resolved their acrimonious clash over safety procedures at the automaker’s sole U.S. assembly plant with a deal that allows production to resume as early as Monday, county officials said.",positive
721,2020-05-13,"Stock markets tumbled on Wednesday on fears about a second wave of coronavirus infections and warnings from Federal Reserve Chairman Jerome Powell that the U.S. faces a ""significantly worse"" recession than any downturn since World War Two, while bonds rose on a safety bid.",negative
722,2020-05-13,"Airbus  is exploring restructuring plans involving the possibility of ""deep"" job cuts as it braces for a prolonged coronavirus crisis after furloughing thousands of workers, industry sources said, though no decision is imminent.",negative
723,2020-05-13,Shareholder activists prodding Exxon Mobil Corp on climate-change proposals are backing calls for an independent board chairman as the oil major steps up efforts to keep climate proposals off its ballot.,neutral
724,2020-05-13,"Online retailer Amazon.com, criticized for not acting quickly enough to curb sellers who charged hundreds of dollars for high-demand hand sanitizer during the early phase of the new coronavirus pandemic, urged Congress on Wednesday to pass a law against price gouging during times of national emergency.",neutral
725,2020-05-13,"The head of the Federal Reserve warned on Wednesday of an ""extended period"" of weak economic growth, vowed to use the U.S. central bank's power as needed, and called for additional fiscal spending to stem the fallout from the coronavirus pandemic.",negative
726,2020-05-13,"Jerome Powell, chairman of the Federal Reserve board of governors, warned Wednesday that the long-term health of the U.S. economy may depend on more fiscal stimulus to fight the economic impacts of the coronavirus.",negative
727,2020-05-13,"Federal Reserve Chair Jerome Powell, in a sober review of where the U.S. economy stands on the cusp of its reopening, said on Wednesday the country could face an ""extended period"" of weak growth and stagnant incomes, pledged to use more Fed power as needed, and issued a call for more fiscal spending.",negative
728,2020-05-13,"Deutsche Bank's  regulators in the United States have criticised the German lender in an internal audit for weaknesses in fighting money laundering and in risk management, according to a German newspaper on Wednesday.",negative
729,2020-05-13,"Amazon.com Inc  said on Wednesday it would extend the temporary increase in its hourly pay and double the overtime pay through May 30, bringing its total salary cost for hourly employees to nearly $800 million.",neutral
730,2020-05-13,"The top three U.S. airlines have told their flight attendants not to force passengers to comply with their new policy requiring face coverings, just encourage them to do so, according to employee policies reviewed by Reuters.",neutral
731,2020-05-13,"After over seven weeks of coronavirus lockdown, Britons hankering for a Big Mac may be a step closer to getting their hands on one after McDonald's  reopened 15 restaurants on Wednesday for delivery only.",neutral
732,2020-05-13,"Japan's SoftBank Group Corp , a shareholder in some of Latin America's largest food delivery companies, expects consolidation in most markets, a senior executive said on Wednesday.",neutral
733,2020-05-13,"U.S. producer prices fell by the most since 2009 in April, leading to the largest annual decline in nearly 4-1/2 years, bolstering some economists' predictions for a brief period of deflation as the novel coronavirus depresses demand.",negative
734,2020-05-13,"EU officials are seeking to finalise a plan for public stakes to be taken in key European companies to shield them from the economic fallout of the COVID-19 pandemic, three sources familiar with the matter told Reuters.",neutral
735,2020-05-13,OPEC slashed its forecast on Wednesday for global oil demand this year and predicted this quarter would see the steepest decline even as some countries ease lockdown measures designed to stem the coronavirus outbreak.,negative
736,2020-05-13,"Wall Street bonuses for 2020 could fall by as much as 25%-30% due to the deep cuts to revenues recorded by banks and hedge funds earlier this year as a result of the novel coronavirus, according to a report published Wednesday by compensation consulting firm Johnson Associates Inc.",negative
737,2020-05-13,"While Deutsche Bank  employees fret about their jobs and pay, Germany's largest lender is trying to track down several hundred former staff to claim share payouts it has been holding in Jersey.",neutral
738,2020-05-13,"More than a hundred shoppers waited in line outside a Chanel store in Seoul on Wednesday, shrugging off concerns about a second wave of coronavirus infections to beat imminent price hikes by the French luxury brand.",neutral
739,2020-05-13,"Over 300 lawmakers from around the world on Wednesday urged the International Monetary Fund and World Bank to cancel the debt of the poorest countries in response to the coronavirus pandemic, and to boost funding to avert a global economic meltdown.",neutral
740,2020-05-13,"U.S. producer prices fell by the most since 2009 in April, leading to the largest annual decline in nearly 4-1/2 years, which could bolster some economists' predictions for a brief period of deflation as the novel coronavirus depresses demand.",negative
741,2020-05-13,French luxury house Chanel said on Wednesday it was increasing prices on its handbags and some small leather goods worldwide to take into account a rise in the cost of raw materials amid the coronavirus pandemic.,negative
742,2020-05-13,"Sony Corp  expects operating profit to drop at least 30% this financial year to its lowest in four years as the company anticipates a hit to demand for its TVs, cameras and smartphone image sensors from the coronavirus outbreak.",negative
743,2020-05-13,Swedish-Danish airline SAS  said on Wednesday wearing a face mask would be compulsory on all its flights through to the end of August to reduce the risk of coronavirus contagion.,neutral
744,2020-05-13,"Qatar Airways, one of the Middle East's biggest airlines, is in talks with Airbus  and Boeing  to defer aircraft orders for several years, its chief executive was quoted as saying on Wednesday.",negative
745,2020-05-13,"Mitsubishi Heavy Industries  (MHI) said it was more than halving the annual development budget for its SpaceJet regional jet as the coronavirus pandemic squeezes profit, and will suspend plans for a possible variant seen as key to winning future orders, particularly from U.S. airlines.",negative
746,2020-05-13,"Shipping group CMA CGM has obtained a 1.05 billion euro ($1.1 billion) loan to be 70% guaranteed by the French government as it seeks to bolster its cash position during the coronavirus pandemic, which has hammered international trade.",positive
747,2020-05-13,Easyjet  and Lufthansa's  Germanwings on Wednesday lost their challenge against an EU ruling ordering Italy to recover illegal state aid granted to airlines serving Sardinia.,negative
748,2020-05-13,"Shipping group A.P. Moller-Maersk  warned of a sharp drop in global container volumes due to the coronavirus pandemic, with weaker retail sales and depressed car production dampening demand.",negative
749,2020-05-13,"Travel group TUI  will cut 8,000 jobs and look to shed 30% of its costs as it gears up for a July restart to European tourism, the German company said on Wednesday.",negative
750,2020-05-13,"Tourism will recover to its pre-coronavirus levels by 2022 at the latest and European holidays will restart in July said Fritz Joussen, the chief executive of travel group TUI .",positive
751,2020-05-13,"Tesla Inc Chief Executive Elon Musk's fight with local  authorities over the reopening of its California plant has gotten the attention of those who scout sites for new factories and corporate offices, as well as economic development officials hungry for more jobs.",neutral
752,2020-05-13,"South Korea's largest airline, Korean Air , plans to sell around 1 trillion won ($816.55 million) in new shares in its biggest rights issue in 20 years to raise funds amid mounting strains in the industry due to the pandemic.",neutral
753,2020-05-13,Troubled currency services provider Travelex [TFPI.UL] on Wednesday warned of defaulting on a 14.4 million euro ($15.6 million) coupon payment on some of its senior notes as it grapples with a hit to earnings amid the coronavirus crisis.,negative
754,2020-05-13,"Emirates Airline from May 21 plans to operate scheduled flight services from Dubai to London Heathrow, Frankfurt, Paris, Milan, Madrid, Chicago, Toronto, Sydney and Melbourne, it said in a statement on Wednesday.",neutral
755,2020-05-13,"With the U.S. economy facing its potentially deepest economic decline in nearly a century, Wall Street is pulling further and further ahead from Main Street.",neutral
756,2020-05-13,"German lender Deutsche Bank  plans to pump at least 200 billion euros ($216.8 billion) into so-called sustainable financing and investments by 2025, its first formal targets for doing so.",positive
757,2020-05-13,"Amazon  plans to extend until May 18 the closure of its six French warehouses, which have been closed since April 16 after court rulings ordering the U.S. e-commerce giant to restrict deliveries during the coronavirus pandemic.",negative
758,2020-05-13,"Japan has no plan to change its schedule regarding the launch of integrated resorts (IR) - Las Vegas-style complexes that include casinos and shopping arcades - despite Las Vegas Sands'  decision to end its plan to open an IR casino in Japan, a top government spokesman said on Wednesday.",neutral
759,2020-05-13,"Aston Martin  posted a deep first-quarter loss after sales dropped by nearly a third due to the impact of the coronavirus crisis, though the luxury car maker said production of a crucial sport utility vehicle was on track.",negative
760,2020-05-13,"Travel group TUI  , which is struggling with the impact of the coronavirus pandemic, is burning cash at a rate of 250 million euros ($271 million) a month, its CEO said on Wednesday.",negative
761,2020-05-13,"As the COVID-19 pandemic wipes out jobs and empties offices across the world, companies in Central Europe that provide remote, lower-cost services for multinationals are emerging as winners in the new business order.",positive
762,2020-05-13,"Las Vegas Sands  said it has ended plans to open an integrated resort (IR) casino in Japan, dealing another blow to Japan's attempts to energise its economy through tourism.",negative
763,2020-05-13,"Nissan Motor Co  plans to cut $2.8 billion in annual fixed costs as part of its restructuring plan, Bloomberg News reported on Wednesday, as it braces for a drop in sales that could complicate its recovery from years of poor profitability.",negative
764,2020-05-13,"U.S. President Donald Trump on Tuesday urged that Tesla Inc  be allowed to reopen its electric vehicle assembly plant in California, joining CEO Elon Musk's bid to defy county officials who have ordered it to remain closed.",neutral
765,2020-05-13,"Intel Capital, the venture arm of chipmaker Intel Corp , has invested in two Chinese startups in the semiconductor sector, the company announced on Wednesday, as part of its latest batch of deals.",neutral
766,2020-05-12,"Texas Governor Greg Abbott said on Tuesday that he spoke with Elon Musk, the chief executive of Tesla Inc , in recent days about a potential move of the company's electric vehicle assembly plant to the Lone Star state.",neutral
767,2020-05-12,"Airlines and airports are recommending a layered approach to temporary safety measures as air travel restarts, warning that no single measure can mitigate all of the risks during the pandemic, according to a briefing document seen by Reuters.",neutral
768,2020-05-12,"Hedge fund Mudrick Capital Management LP asked Neiman Marcus Group's independent directors on Tuesday to explore a combination with rival department store chain Saks Fifth Avenue, challenging the company's plan to reorganize under bankruptcy protection.",neutral
769,2020-05-12,"Occidental Petroleum Corp  is offering its employees voluntary buyouts over the next two weeks, according to a document seen by Reuters on Tuesday, citing the sharp decline in oil prices and the coronavirus pandemic for ""severe dislocations"" in its business.",negative
770,2020-05-12,"U.S. businesses and households are going to need more fiscal support to get through what will likely be a longer period of recovery from the coronavirus shutdown than initially expected, Federal Reserve policymakers said on Tuesday.",negative
771,2020-05-12,The S&P 500 dropped 2% on Tuesday as investors took profits following a warning from the top U.S. infectious disease expert that premature moves to reopen the nation's economy could lead to novel coronavirus outbreaks and set back economic recovery.,negative
772,2020-05-12,"The U.S. Justice Department and Securities and Exchange Commission must review whether an ex-Royal Bank of Scotland employee is owed a whistleblower payout and provide documents relating to his case, a federal U.S. court said on Tuesday.",neutral
773,2020-05-12,"A group of 13 U.S. attorneys general on Tuesday asked Amazon.com Inc  to provide data on coronavirus-related deaths and  infections among its workforce, along with evidence of the company's compliance with paid sick leave laws.",neutral
774,2020-05-12,"A senior Federal Reserve official on Tuesday defended before Congress the central bank's decision to allow lenders to continue issuing dividends, even as the regulator seeks permission from lawmakers to further relax capital rules.",neutral
