,Description,Target
542,"Worldwide electric car registrations are set to fall 18% this year, but those of combustion engine cars are set to drop even faster, analysts BloombergNEF (BNEF) said on Tuesday, as the automotive sector is hammered by the coronavirus crisis.",negative
543,"In the eastern Chinese city of Yuyao, a group of five face-masked workers at a Geely auto plant, stood almost shoulder to shoulder behind an SUV as they conducted paint and other quality checks.",neutral
544,"Swiss regulators have requested electronic messaging data from the mobile phones of several Credit Suisse managers and supervisory board directors as part of a probe into spying at the bank, three people familiar with the matter said.",neutral
545,"Risk managers expect a prolonged global recession as a result of the coronavirus pandemic, a report by the World Economic Forum showed on Tuesday.",negative
546,"Money trumped spying as the top motivator for data breaches last year, according to Verizon's annual report on cyber crimes published on Tuesday.",neutral
547,"Moderna Inc's  experimental COVID-19 vaccine, the first to be tested in the United States, produced protective antibodies in a small group of healthy volunteers, according to very early data released by the biotech company on Monday.",positive
548,"Qantas Airways Ltd could restart 40-50% of its domestic capacity in July if states relax border controls, and expects to offer low and flexible fares without social distancing measures to stimulate travel demand, its chief executive said on Tuesday.",positive
549,The U.S. Securities and Exchange Commission (SEC) on Monday said it settled charges against three former KPMG LLP audit partners stemming from a cheating scandal at the firm.,neutral
550,"Starbucks Coffee Japan said it was reopening many of its stores in Japan, including Tokyo, starting on Tuesday, although many of them will be limited to take-out and drive-through services.",positive
551,"SoftBank Group Corp is in talks to sell ""a significant portion"" of its T-Mobile US stake to controlling shareholder Deutsche Telekom AG, the Wall Street Journal reported on Monday, citing unidentified sources.",neutral
552,"U.S. stocks jumped on Monday, and the S&P 500 closed at a 10-week high, on encouraging early-stage data for a potential coronavirus vaccine and on the promise of more stimulus to lift an economy beaten down by the pandemic.",positive
553,"Uber Technologies Inc  will concentrate on its core businesses in ride-hailing and food delivery and cut 23% of its workforce in an attempt to become profitable despite the coronavirus pandemic, Chief Executive Officer Dara Khosrowshahi said in an email to employees on Monday.",neutral
554,"Dutch bank NIBC Holding NV  said late on Monday it has agreed to pay its 2019 dividend to its proposed buyer, U.S. equity firm Blackstone Group Inc , before the deal settles, in order to remove one hurdle to the proposed 1.36 billion-euro ($1.47 billion) takeover.",neutral
555,"Dana Inc , a key supplier of truck parts to Detroit automakers, restarted its Toledo plant Monday on a single shift, with one-third of its 750-person workforce and less than 1% absenteeism, according to plant manager Craig Zimmerly.",neutral
556,"Jet manufacturers and airlines are launching an urgent initiative to convince nervous travelers that the air they breathe on planes is safe, believing this is critical to rebuilding a travel industry floored by the novel coronavirus.",neutral
557,"Delta Air Lines  said on Monday it would resume flying several major routes in June that were suspended due to the coronavirus pandemic, including some Trans-Atlantic and Caribbean destinations.",positive
558,"Jack Dorsey-led Square Inc said on Monday that most of its employees can continue to work from home permanently even after offices reopen, following a similar announcement from Twitter Inc, which is also headed by the billionaire.",neutral
559,A gauge of global equity markets surged almost 3% on Monday and oil rallied to highs last seen in mid-April as data from an early-stage trial for a coronavirus vaccine lifted hopes of a faster recovery from the pandemic-driven economic slump.,positive
560,"U.S. President Donald Trump said on Monday extending the amount of time borrowers in the Paycheck Protection Program have to spend their funds to 24 weeks from the current eight weeks ""should be easy.""",neutral
561,Italy's Economy Minister Roberto Gualtieri on Monday said Fiat Chrysler [FCHA.MI] has to strengthen investments in Italy and avoid delocalizing its factories outside the national borders to apply for a state backed loan.,neutral
562,"Oil prices on Monday jumped to their highest in over two months on positive early results on a potential coronavirus vaccine, optimism about a resumption in economic activity and signs producers were following through on planned output reductions.",positive
563,"Roughly 4.1 million U.S. mortgage borrowers have had their payments paused or reduced as the novel coronavirus outbreak hits household finances, but the increase in the number of people needing such help is slowing, the latest weekly survey from the Mortgage Bankers Association showed on Monday.",neutral
564,"The coronavirus crisis is accelerating a shift in the world of autonomous cars toward delivering packages instead of people, as big players open up a lead over startups in the race for funding.",neutral
565,"J.C. Penney Co Inc plans to trim its store count by 29% to about 604, as the U.S. department store chain looks to focus on those more profitable, a regulatory filing showed on Monday, two days after it filed for bankruptcy protection.",neutral
566,"Thyssenkrupp  on Monday said it was looking for partners for its steel and warship divisions, singling out just three lines of businesses that will stay within the struggling German industrial icon.",neutral
567,The Detroit Three automakers and their suppliers began restarting assembly lines on Monday after a two-month coronavirus lockdown in a slow revival of a sector that employs nearly 1 million people in the United States.,positive
568,"Medical diagnostic firm PerkinElmer Inc faces a federal investigation into its role in an alleged Medicare fraud involving tens of thousands of unnecessary genetic cancer tests, according to three sources with knowledge of the probe and documents reviewed by Reuters.",negative
569,"U.S. Senator Amy Klobuchar on Sunday blasted merger talks between ride-hailing firm Uber Technologies Inc and online food delivery company Grubhub Inc, calling any deal bad for competition and consumers.",negative
570,"JPMorgan  has made a number of changes in senior positions in its investment bank in the Europe, Middle East and Africa (EMEA) region to support a February reshuffle of the top roles, according to an internal memo seen by Reuters.",neutral
571,"Total  has called off a plan to acquire Occidental Petroleum's  assets in Ghana, which was conditional on the completion of the acquisition of Occidental's other assets in Algeria, the French energy company said on Monday.",negative
572,"The global economy will take much longer to recover fully from the shock caused by the new coronavirus than initially expected, the head of the International Monetary Fund said, and she stressed the danger of protectionism.",negative
573,"Huawei Technologies in its first official response to the Trump administration's move to curb its access to global chip supplies called it ""arbitrary"" and said its business would be impacted.",negative
574,"Amazon's French warehouses are set to reopen on Tuesday with about 30% of employees, three union officials said, ending a month-long dispute over whether the e-commerce giant was doing enough to protect workers from the coronavirus pandemic.",positive
575,"Americans increased their visits to supermarkets far more than to Walmart Inc  stores as panic-buying peaked in mid-March, a Reuters analysis of foot traffic to retailers in the United States shows.",neutral
576,"SoftBank Group Corp  CEO Masayoshi Son on Monday pinned his hopes on a small group of ""winged unicorns"" to save the performance of his $100 billion Vision Fund - although he gave few clues on which ones they would be.",neutral
577,"Confidence among U.S. single-family homebuilders rose in May, potentially signaling that the worst of the economic downturn was probably over as the country gradually reopens after lockdowns to slow the spread of the novel coronavirus.",positive
578,"Nissan Motor Co  is working on a plan to scale back its European business, focusing on sport utility and commercial vehicles as well as more effective sharing of products and investments with partner Renault, three sources told Reuters.",neutral
579,"Italians will be able to grab a cup of their favorite Starbucks coffee again after the group said on Monday it would reopen its Italian cafes, with the exception of its flagship location in central Milan.",positive
580,"Chris and Amy Hillyard opened their Oakland, California restaurant late last month for the first time since mid-March, thanks in large part to a government loan aimed at tiding over small firms during the worst of the coronavirus crisis.",positive
581,"Europe's top oil and gas companies have diverted a larger share of their cash to green energy projects since the coronavirus outbreak in a bet the global health crisis will leave a long-term dent in fossil fuel demand, according to a Reuters review of company statements and interviews with executives.",neutral
582,"Ethiopian Airlines expects a settlement with planemaker Boeing  by end of June over compensation related to the 737 MAX grounding in March 2019 following two fatal crashes, CEO Tewolde Gebremariam told Reuters on Friday.",neutral
583,Hertz Global Holdings Inc  on Monday appointed Paul Stone as its chief executive officer days after the U.S. car rental company raised going-concern doubts following a bigger quarterly loss.,neutral
584,"U.S. lawmakers and officials are crafting proposals to push American companies to move operations or key suppliers out of China that include tax breaks, new rules, and carefully structured subsidies.",neutral
585,"The Trump administration has ended a two-year rent holiday for solar and wind projects operating on federal lands, handing them whopping retroactive bills at a time the industry is struggling with the fallout of the coronavirus outbreak, according to company officials.",negative
586,"Since September, investors have pumped at least $6 billion into more than two dozen startups that are automating delivery of goods and food, from heavy trucks to sidewalk robots and drones.",positive
587,"Japan's SoftBank Group Corp reported a stunning $18 billion loss at its giant Vision Fund, pushing Masayoshi Son's conglomerate to a record loss and highlighting the deepening crisis at its portfolio companies from the global downturn.",negative
588,"Softbank Group will raise 1.25 trillion yen ($11.7 billion) using Alibaba stock to fund buybacks of its own shares, Chief Executive Masayoshi Son said on Monday.",positive
589,"Unemployment checks are flowing, $490 billion has been shipped to small businesses, and the U.S. Federal Reserve has put about $2.5 trillion and counting behind domestic and global markets.",positive
590,"Top technology services firms are offering payment deferrals, discounts of up to 20% and other sweeteners to some U.S. banks to keep their business as the pandemic forces Wall Street to cut tech budgets, according to executives involved in the talks.",negative
591,"Panasonic Corp's  finance chief said the company is seeing strong demand for battery cells from U.S. partner Tesla  and they are in talks to expand their joint plant in Nevada, which is now profitable.",positive
592,"Thyssenkrupp's  powerful labor representatives are open to consolidation talks in the steel sector, a leading union official told Reuters on Monday.",positive
593,"The most important data for the U.S. economy right now are the ""medical metrics"" around the coronavirus pandemic, Federal Reserve Chairman Jerome Powell said Sunday night in broadcast remarks where he outlined the likely need for three to six more months of government financial help for firms and families.",neutral
594,"Britain and the United States are hopeful that negotiations for a trade agreement can proceed at an accelerated pace, Britain's department for trade said on Monday in an update on the talks after the first round concluded last week.",positive
595,"Japan's economy slipped into recession for the first time in 4-1/2 years in the last quarter, putting the nation on course for its deepest postwar slump as the coronavirus crisis ravages businesses and consumers.",negative
596,"SoftBank Group Corp said on Monday that Alibaba co-founder Jack Ma will resign from its board, in the latest departure by a high-profile ally of CEO Masayoshi Son.",negative
597,"Apple Inc will this week reopen more than 25 of its branded stores in the United States, the company said on Sunday, continuing a gradual process that has unlocked doors at nearly a fifth of its worldwide retail outlets.",positive
598,"Taiwan Semiconductor Manufacturing Co Ltd has stopped new orders from Huawei Technologies [HWT.UL] in response to Washington's move aimed at further limiting chip supplies to the Chinese company, the Nikkei reported on Monday, citing multiple sources.",negative
599,"SoftBank Group Corp is in talks to sell ""a significant portion"" of its T-Mobile US stake to controlling shareholder Deutsche Telekom AG, the Wall Street Journal reported on Monday citing unidentified sources.",neutral
600,"Japan's economy is expected to slump significantly due to sluggish overseas demand blamed on the coronavirus pandemic, Economy Minister Yasutoshi Nishimura said on Monday.",negative
601,"General Motors Co is tentatively planning to restart operations at its auto assembly plant in the Mexican city of Silao on May 20, according to a message to workers seen by Reuters on Sunday, as the car industry prepares to exit the coronavirus lockdown.",positive
602,"Shares of South Korea's SK Hynix , the world's No.2 memory chip maker and supplier to Huawei [HWT.UL], fell as much as 3.3% early on Monday after a U.S. move to curb semiconductor supplies to the Chinese company stoked fears about a demand hit.",negative
603,The president of General Motors Co's  Mexican unit advised suppliers to prepare to resume operations after the Mexican government said the automotive industry could exit the coronavirus lockdown before June 1 with adequate safety measures.,positive
604,"The United States needs to quickly revise its coronavirus aid program for small businesses to extend the eight-week period in which the law currently requires companies to spend the money, a key U.S. senator said on Sunday.",neutral
605,"Virgin Australia Holdings Ltd's  administrators have short-listed potential buyers BGH Capital, Bain Capital, Indigo Partners and Cyrus Capital Partners, a source with knowledge of the matter said on Monday.",neutral
606,"A month after sellers had to pay nearly $40 a barrel to get rid of U.S. oil futures, the next watershed moment looms with the expiry of the June contract on Tuesday - and so far there is little sign of a repeat of the historic plunge.",neutral
607,"U.S. House Speaker Nancy Pelosi said on Sunday there will be negotiations on the new $3 trillion coronavirus relief legislation passed by the Democratic-controlled House of Representatives and that Democrats have ""no red lines.""",positive
608,"Emirates Group is planning to cut about 30,000 jobs to reduce costs amid the coronavirus outbreak, which will bring down its number of employees by about 30% from more than 105,000 at the end of March, Bloomberg News reported on Sunday.",negative
609,"India's Reliance Industries  on Sunday announced U.S. fund General Atlantic will invest 65.98 billion rupees ($870 million) in Jio Platforms, a fourth deal that takes investment in its digital unit to over $8 billion in less than a month.",positive
610,"Senior British government minister Michael Gove said on Sunday there was a post-Brexit trade deal to be done with the European Union providing the bloc agreed to compromise, days after both sides said talks were making little progress.",positive
611,"Temporary unemployment schemes operating across Europe could struggle to save the jobs of leisure and travel sector workers facing drawn-out or partial recoveries from the COVID-19 pandemic, even if they help industries that rebound quickly.",negative
612,China's commerce ministry said on Sunday it is firmly opposed to the latest rules by the United States against Huawei and will take all necessary measures to safeguard Chinese firms' rights and interests.,negative
613,"Walt Disney Co  will partially reopen its Disney Springs entertainment and shopping complex at Walt Disney World Resort in Florida on May 20, it said late on Saturday.",positive
614,China has asked trading firms and food processors to boost inventories of grains and oilseeds as a possible second wave of coronavirus cases and worsening infection rates elsewhere raise concerns about global supply lines.,negative
615,"The People's Bank of China should avoid buying special treasury bonds as such a move could fuel inflation risks and asset bubbles and lead to depreciation of the yuan currency, central bank policy adviser Ma Jun said in remarks published on Sunday.",neutral
616,"J.C. Penney Co Inc  needs to exit bankruptcy proceedings in just a matter of months to survive the unprecedented financial strain of prolonged store closures due to the COVID-19 pandemic, a lawyer for the iconic U.S. department store chain said during a court hearing on Saturday.",negative
617,"Italian Prime Minister Giuseppe Conte said on Saturday that Fiat Chrysler was entitled to apply for Italy's state-backed loans because the automaker employs thousands of people in the country, even though its legal base is located abroad.",positive
618,"Canadian Prime Minister Justin Trudeau said on Saturday he would look at possible ways to help airlines further, but laid out no new measures after the country's biggest airline announced mass layoffs due to the coronavirus pandemic.",neutral
619,"Around 600 banks, most of them small community institutions, tapped the Federal Reserve's Paycheck Protection Program facility for about $30 billion of loans as of May 6, the U.S. central bank reported on Saturday in its first detailed disclosure under the new program.",neutral
620,"J.C. Penney Co Inc filed for bankruptcy protection on Friday with plans to permanently close some stores and also explore a possible sale, making it the latest brick-and-mortar retailer to crumble as prolonged store closures in response to the COVID-19 pandemic drive a final stake through long-troubled businesses.",negative
621,"China's foreign ministry said on Saturday the United States needed to stop the ""unreasonable suppression"" of Chinese companies like Huawei, and a Chinese newspaper said the government was ready to retaliate against Washington.",negative
622,"Saudi Arabia's sovereign wealth fund has bought minority stakes in major American companies including Boeing, Facebook and Citigroup, a regulatory filing showed, giving it a portfolio of nearly $10 billion in U.S.-listed stocks.",neutral
623,"Investors are bracing for more turbulence in U.S. stocks, as some states prepare to reopen their economies and global trade tensions rise.",negative
624,"A California state panel on Friday rejected a request from Elon Musk's SpaceX for $655,500 in state job and training funds, citing the chief executive's recent threats to move Tesla, the electric carmaker that he also runs, out of the state.",negative
625,"Amazon.com Inc  said on Friday it would make an ""appropriate"" executive available to the U.S. House of Representatives Judiciary Committee to testify about allegations related to how the company uses third-party sellers' data.",neutral
626,"The U.S. Justice Department has sent grand jury subpoenas to big banks seeking records as part of a broader investigation into potential abuse of a $660 billion emergency loan program to help small businesses hurt by the novel coronavirus, two people with knowledge of the matter told Reuters.",negative
627,"A group of state attorneys general led by Texas are likely to file an antitrust lawsuit against Alphabet Inc's Google and are working on potential litigation for later this year, a person familiar with the situation said on Friday.",negative
628,"The Trump administration on Friday moved to block global chip supplies to blacklisted telecoms equipment giant Huawei Technologies, spurring fears of Chinese retaliation and hammering shares of U.S. producers of chipmaking equipment.",negative
629,"Taiwan Semiconductor Manufacturing Co Ltd, which unveiled a $12 billion investment plan in Arizona on Friday, has not been given any assurances that it will be granted a license to allow it to sell U.S. technology to China's Huawei, a senior U.S. official said.",negative
630,U.S. employers have cooled to the idea of testing workers for possible immunity to the coronavirus as they prepare to reopen factories and other workplaces.,neutral
631,Wall Street's three major indexes closed higher after swinging between gains and losses on Friday as investors weighed worries about Sino-U.S. trade relations and weaker-than-expected U.S. economic data against growing optimism that easing coronavirus restrictions would boost activity this month.,neutral
632,"The U.S.-China ""Phase 1"" trade deal reached in January is not falling apart and the two countries are still working to implement it, the White House's top economic adviser said on Friday, but President Donald Trump added that he was not ""thrilled"" with the agreement.",positive
633,"U.S. stocks gyrated on Friday before ending slightly higher, as investors worried about increased China-U.S. trade hostilities and disappointing retail sales figures, while signs of a pick-up in crude demand boosted oil prices.",neutral
634,Businesses are urging U.S. lawmakers to shield companies from what they fear could be a flood of lawsuits by workers and consumers blaming employers for exposing them to the new coronavirus.,neutral
635,"South African Airways (SAA) has spent just under 10 billion rand ($540 million) since it entered a form of bankruptcy protection, business rescue practitioners said on Friday as they flagged a structured wind-down process as their preferred option for the carrier.",neutral
636,"Layoffs in the United States jumped to a record high in March, while the number of people voluntarily quitting their jobs dropped to a 4-1/2-year low as the novel coronavirus crisis rapidly changed labor market dynamics.",negative
637,Shares in Wirecard  fell to more than two-year lows on Friday after a Dubai-based business partner closed its doors even as the German payments company played down the impact on operations.,negative
638,Air France  is putting its grounded pilots through their paces in the flight simulator as the airline prepares to restore flights to dozens of destinations that had been suspended under coronavirus lockdown measures.,neutral
639,"United Airlines Holdings Inc  has told staff that it only has work for about 3,000 of its about 25,000 flight attendants in June, sources said, and warned of job losses if demand does not recover by the time government payroll aid expires in the fall.",negative
640,"U.S. consumer sentiment rose unexpectedly in early May after a record plunge a month earlier as emergency assistance payments improved household finances hurt by mass layoffs from the coronavirus crisis, a survey released on Friday showed.",positive
641,"Late last month, Sukrampal had to beg and borrow farmhands from nearby villages to gather his part of the country's largest-ever wheat harvest in Haryana state near New Delhi.",positive
642,White House economic adviser Larry Kudlow on Friday floated the idea of cutting the corporate tax rate in half for U.S. companies who bring their operations back from other countries.,positive
643,"Virgin Atlantic will not be able to resume passenger flights until August at the earliest if Britain introduces a 14-day quarantine for travellers, according to a source at the airline.",negative
644,"U.S. retail sales endured a second straight month of record declines in April as the novel coronavirus pandemic kept Americans at home, putting the economy on track for its biggest contraction in the second quarter since the Great Depression.",negative
645,U.S. weapons maker Lockheed Martin Corp  said on Friday it would pay an additional $300 million to its suppliers hurt by a sharp economic slowdown caused by the coronavirus crisis.,neutral
646,"Fiat Chrysler  is in talks with Italian lender Intesa Sanpaolo  over a 6.3 billion euro ($6.8 billion) state-guaranteed loan to help the automaker weather the coronavirus crisis, a source close to the matter said on Friday.",neutral
647,The Belgian government said on Friday it was committed to reaching a deal with Lufthansa  to save its Belgian subsidiary Brussels Airlines if the future of the national carrier was guaranteed.,positive
648,"Taiwan Semiconductor Manufacturing Co Ltd , the biggest contract chipmaker, said it plans to build a $12 billion factory in Arizona in an apparent win for the Trump administration's efforts to wrestle global tech supply chains back from China.",positive
649,"Nissan Motor Co expects equal contributions to global car sales from China, the United States and elsewhere in coming years as the struggling Japanese carmaker strategises to recover profitability, two people with knowledge of the issue said.",neutral
650,Worker welfare is having a moment on Wall Street.,positive
651,"U.S. President Donald Trump signaled a further deterioration of his relationship with China over the coronavirus outbreak, saying he has no interest in speaking to President Xi Jinping right now and going so far as to suggest he could even cut ties with the world's second largest economy.",negative
652,"Chipmaker Taiwan Semiconductor Manufacturing Co's  $12 billion investment in the United States will increase U.S. economic independence from China, Secretary of State Mike Pompeo said in a statement early on Friday.",positive
653,The U.S. Department of Commerce on Friday announced that it was extending the Temporary General License that allows certain transactions with Huawei Technologies Co Ltd for another 90 days.,positive
654,"Ryanair has cut more than 250 staff in offices in Dublin, London, Madrid and Wroclaw, Poland, Europe's largest low-cost airline said on Friday.",negative
655,Texas-based CRE8AD8 LLC bid for a federal government contract to quickly rescue food from struggling farmers and deliver it to U.S. food banks as fallout from the coronavirus pandemic has put millions of Americans out of work and driven many to seek help putting food on the table.,neutral
656,"Cathay Pacific Airways Ltd  said on Friday it made an unaudited loss of HK$4.5 billion ($580.53 million) at its full-service airlines during January-April and flagged a ""very bleak"" outlook as the coronavirus crisis grounded planes globally.",negative
657,"Cooperation between Fincantieri  and Thyssenkrupp  to build submarines is a good opportunity to talk about future consolidation in the European defence sector, the Italian shipbuilder's general manager Alberto Maestrini said on Friday.",neutral
658,"France's Accor , which runs hotels such as Ibis and Movenpick, said on Friday it would offer its clients free access to online medical consultations run by insurer AXA  as it prepares for a recovery from the coronavirus crisis.",neutral
659,"Sweden's central bank will engage BlackRock’s Financial Markets Advisory for analysis work on the Swedish corporate bonds market, it said in a statement on Friday.",neutral
660,"Westpac Banking Corp  admitted to millions of breaches of anti-money laundering and counter-terrorism laws in a filing in Australia's Federal Court on Friday, but denied accusations it enabled illegal payments between known child sex offenders.",negative
661,"The U.S. Food and Drug Administration said on Thursday that Abbott Laboratories’  speedy coronavirus test, which can deliver results within minutes and is used at the White House, could potentially be inaccurate but can still be used to test patients.",neutral
662,"Europe's biggest bank, HSBC  has cut already bleak global growth forecasts even further, as lockdown restrictions extended through April and tentative economic re-openings drag on a return to business, trade and spending.",negative
663,"The airline industry is not likely to recover to pre-coronavirus levels for at least the next six to 12 months, Southwest Airlines Co  Chief Executive Officer Gary Kelly said on Thursday.",negative
664,"Goldman Sachs Group Inc plans to buy a boutique wealth management custodian and technology company called Folio Financial Inc for an undisclosed amount of money, according to a letter that Folio sent to its customers on Thursday and was viewed by Reuters.",neutral
665,"Taiwan Semiconductor Manufacturing Co Ltd, the world's biggest contract manufacturer of computer chips, on Friday announced plans to build an approximately $12 billion advanced chip factory in Arizona.",positive
666,"The We Company, owner of WeWork, said on Thursday that for the first time quarterly revenue surpassed $1 billion and cash burn improved 60% sequentially, but the money-losing shared office operator did not mention profitability in an email to employees that was reviewed by Reuters.",positive
667,Wall Street surged on Thursday as investors weighed the prospect of economic recovery against bellicose remarks from President Donald Trump regarding U.S.-China trade and a whistleblower's dire warnings about the U.S. response to the coronavirus pandemic.,positive
668,"Walt Disney Co  and unions representing workers at Florida's Walt Disney World have reached an agreement on safeguards to protect employees from coronavirus, a union statement said on Thursday, removing one of the company's hurdles to reopening its popular theme parks.",positive
669,"The Federal Reserve's pledged support for exchange-traded funds may not end up costing the central bank much, but will still have the desired effect of keeping the credit market afloat.",positive
670,"Nike Inc  said on Thursday store closures across the globe will hurt its retail and wholesales businesses in the fourth quarter, even as it ramps up its e-commerce capabilities to address increased online orders amid the COVID-19 pandemic.",negative
671,"The novel coronavirus crisis continues to pummel the U.S. labor market, with the number of Americans filing for unemployment benefits falling less than expected last week, suggesting a second wave of layoffs in industries and jobs not initially impacted by business closures caused by the pandemic.",negative
672,"Electric car maker Tesla Inc  plans to introduce a new low-cost, long-life battery in its Model 3 sedan in China later this year or early next that it expects will bring the cost of electric vehicles in line with gasoline models, and allow EV batteries to have second and third lives in the electric power grid.",neutral
673,"General Motors Co's  self-driving car unit Cruise told staff on Thursday it has decided to lay off workers, the latest start-up in the nascent industry to cut jobs during the coronavirus pandemic.",negative
674,"Global equity benchmarks gained late on Thursday, with safe-haven bonds also rising as investors shrugged off disappointing U.S. jobs data and took comfort in the possibility of states re-opening after lockdowns and fueling an economic recovery.",positive
675,"One Thursday morning seven weeks ago, Federal Reserve Chair Jerome Powell made a rare appearance on NBC's ""Today Show"" to offer a reassuring message to Americans dealing with economic fallout from measures to contain the coronavirus outbreak.",neutral
676,Delta Air Lines  moved to retire its Boeing Co  777 fleet and reduce its pilot ranks on Thursday as it joins other airlines wrestling with the need to shrink their operations to match reduced air travel due to the coronavirus crisis.,negative
677,"Lufthansa  plans to resume flights to destinations including Los Angeles, Toronto and Mumbai next month as it begins to restore some of the capacity grounded by the coronavirus crisis, the German airline group said on Thursday.",positive
678,"The coronavirus crisis drove a dramatic weakening in American households' finances as millions of people lost work or had their hours or pay reduced, with low-wage workers taking the biggest hit, according to a report released by the Federal Reserve on Thursday.",negative
679,"The U.S. Securities and Exchange Commission said on Thursday it has charged two companies and a chief executive officer with making misleading claims related to COVID-19, the disease caused by the novel coronavirus.",negative
680,"The possibility that Uber Technologies Inc , which runs Uber Eats, could acquire Grubhub Inc  is reigniting some restaurants' worries over the commissions charged to eateries by the third-party delivery companies.",neutral
681,"A near decade-long battle to clear his name has ended in victory, but the star rainmaker credited with playing a pivotal role in saving one of Britain's biggest banks from a government bailout in 2008 is still waiting to put his life back on track.",neutral
682,"Most of Ford Motor Co's  U.S. dealers received payroll protection loans from the U.S. government amid the coronavirus pandemic, the automaker's chief operating officer said on Thursday.",neutral
683,"Amazon Inc 's video game live-streaming platform Twitch is forming an advisory council of experienced users, online safety experts and anti-bullying advocates to help improve safety on the site, Twitch said in a blog post on Thursday.",neutral
684,"IKEA's shopping malls business, one of the world's biggest, is looking to enter the United States in the next couple of years and is in talks to snap up central properties in major cities, its boss told Reuters.",neutral
685,"McDonald's Corp  has asked its U.S. franchisees to make a series of changes in restaurants before reopening to diners in an effort avoid the spread of the new coronavirus, the Wall Street Journal reported on Thursday.",neutral
686,"Renault  is preparing to substantially reduce its vehicle range, withdrawing well-known but ailing models like the Espace minivans, as part of looming cost cutting plans, four sources in the industry and close to the French carmaker said.",neutral
687,"Planemaker Airbus  has told senior staff the company must be ""resized"" in plans to be set out around end-June and is ready to cut jet production again to tackle any second wave of the coronavirus crisis, people briefed on the matter said.",neutral
688,"President Donald Trump threatened on Thursday to impose new taxes on American companies that produce goods outside the United States, another move his administration could make to push supply chains away from China and raise new trade barriers.",negative
689,"Nissan Motor  may be looking at the possibility of closing its Barcelona factory but no final decision has been made as the Japanese carmaker plans a new global strategic direction, two sources with direct knowledge told Reuters.",neutral
690,"U.S. President Donald Trump on Thursday said he was very disappointed in China over its failure to contain the novel coronavirus, saying the worldwide pandemic cast a pall over his U.S.-China trade deal.",negative
691,"Credit card spending among some of JP Morgan Chase & Co's U.S. customers fell 40% during March and early April compared to last year, as Americans stayed home to protect against the novel coronavirus, according to a new report on Thursday.",negative
692,"Delta Air Lines  said on Thursday it would no longer fly Boeing Co's  wide-body 777 aircraft and some of the other older high-maintenance jets, as the U.S. carrier looks to cut costs amid a steep fall in bookings due to travel restrictions around the world.",negative
693,"Nvidia Corp, whose semiconductors power data centers, autonomous cars and robots, said on Thursday it plans to enter the market for technology that helps cars with automated lane-keeping, cruise control and other driver-assistance features.",positive
694,"Zoom Video Communications Inc  said Thursday it plans to hire 500 software engineers for research and development locations in Phoenix and Pittsburgh over the next two years, expanding its engineering workforce by about 60%.",positive
695,"Acquisitions will play a ""major role"" in Deutsche Boerse's  strategy update later this year, the chief of the stock exchange said.",neutral
696,"Tesla Inc  is a leader in electric vehicle battery technology, but the company doesn't do all its own research.",neutral
697,"When markets slumped in March as the spread of coronavirus gathered pace, wealth managers' trading volumes soared as ultra rich clients reshuffled their portfolios.",neutral
698,"Thyssenkrupp  and Germany's largest union IG Metall on Thursday called for further consolidation of the country's warship sector, saying a tie-up of rivals Luerssen and German Naval Yards (GNYK) did not go far enough.",neutral
699,Fiat Chrysler's  decision to scrap its dividend marks another setback for plans by the Agnelli family's Exor  arm to raise cash after a $9 billion sale of its reinsurer unit PartnerRe collapsed this week.,negative
700,"Britain's quarantine plans and a minister's comment that big foreign holidays were unlikely this year are seriously hindering any travel recovery, said Willie Walsh the boss of British Airways parent company IAG .",negative
701,"Temperature screening and face masks will become common sights at airports to mitigate the spread of the new coronavirus but physical distancing could make flying more expensive, the head of Dubai airport said.",neutral
702,U.S. electric vehicle maker Tesla Inc  said on Thursday it had started producing Long Range Model 3 vehicles in its Shanghai factory and aimed to deliver them to customers soon.,neutral
703,"BMW  on Thursday said China sales of luxury passenger cars rebounded in April but the German premium car and motorbike manufacturer cautioned that other markets including the United States will be ""very slow"" to recover from the corona pandemic.",neutral
704,Merck KGaA  said a slight decline in operating earnings was on the cards this year as the coronavirus pandemic weighs on demand for chemicals in TV screens and is putting couples off seeking the German group's fertility treatments.,negative
705,"A lightning-quick rally in U.S. equities is showing cracks, as investors face mounting evidence that the economy's coronavirus-fueled woes may be far longer-lasting than many had anticipated.",negative
706,"Clariant  is scrapping a regular dividend as it hunkers down to survive the COVID-19 crisis, the Swiss specialty chemicals maker said on Thursday, while still planning a special $1 billion payout from asset-sale proceeds, if they go through.",neutral
707,"Italian fashion group Dolce & Gabbana will lose out ""a lot"" this year, after the coronavirus emergency, founders Domenico Dolce and Stefano Gabbana said on Thursday.",negative
708,"The U.S. factories that make Fords, Chevys and Jeeps are coming back to life this week as workers install new safety equipment and wake up machines ahead of the high-stakes restart the Detroit automakers plan to launch on Monday.",positive
709,A United Airlines Holdings Inc non-union employee filed a class action lawsuit on Wednesday alleging that a requirement that management and administration employees take 20 unpaid days off breaches the terms of federal payroll aid.,neutral
710,French drugmaker Sanofi SA said on Wednesday that it is working with European regulators to speed up access to a potential coronavirus vaccine in Europe after its chief executive suggested Americans would likely get the vaccine first.,neutral
711,President Donald Trump on Wednesday extended for another year an executive order signed in May 2019 declaring a national emergency and barring U.S. companies from using telecommunications equipment made by firms posing a national security risk.,negative
